company_name,funding_date,round_name,amount_millions,post_funding_hiring_surge_pct
Mistral AI,2023-12,Series A,415,70.5
Sierra,2024-02,Series A,110,62.1
Hugging Face,2023-08,Series D,235,58.3
Runway,2023-06,Series C,141,38.2
Cursor,2024-08,Series A,60,29.9
Cohere,2023-06,Series C,270,29.8
Perplexity,2025-06,Series C,250,29.2
Anthropic,2023-05,Series C,450,28.4
OpenAI,2024-02,Tender,860,27.2
Perplexity,2024-04,Series B,63,25.3
Databricks,2023-09,Series I,500,23.8
Cohere,2024-07,Series D,500,22.8
Cursor,2025-04,Series B,175,22.5
Sierra,2025-03,Series B,175,21.7
Anthropic,2024-03,Strategic,2750,21
Anthropic,2025-09,Series D,4100,19
OpenAI,2025-10,Strategic,440,17.6
Scale AI,2024-05,Series F,1000,14.3
Databricks,2025-01,Pre-IPO,1000,13.7
Mistral AI,2024-06,Series B,640,13.3
Runway,2024-12,Growth,308,12.3
OpenAI,2023-01,Strategic,10000,5.9
Adept,2023-03,Series B,350,-28.6
